franchID,Team,W,L,T,Pct.,PF,PA,CH,yearID
CAL,Calgary Stampeders,8,8,0,0.5,425,378,,1983
EDM,Edmonton Eskimos,8,8,0,0.5,450,377,Lost Division Semifinal,1983
HAM,Hamilton Tiger-Cats,5,10,1,0.344,389,498,Lost Division Final,1983
MON,Montreal Concordes,5,10,1,0.344,367,447,,1983
OTT,Ottawa Rough Riders,8,8,0,0.5,353,393,Lost Division Semifinal,1983
SAK,Saskatchewan Roughriders,5,11,0,0.312,360,536,,1983
TOR,Toronto Argonauts,12,4,0,0.75,334,358,Won Grey Cup,1983
WIN,Winnipeg Blue Bombers,9,7,0,0.562,412,402,Lost Division Final,1983
BCL,BC Lions,12,3,1,0.781,445,281,Lost Division Final,1984
CAL,Calgary Stampeders,6,10,0,0.375,314,425,,1984
EDM,Edmonton Eskimos,9,7,0,0.562,464,443,Lost Division Semifinal,1984
HAM,Hamilton Tiger-Cats,6,9,1,0.406,353,439,Lost Grey Cup,1984
MON,Montreal Concordes,6,9,1,0.406,386,404,Lost Division Semifinal,1984
OTT,Ottawa Rough Riders,4,12,0,0.25,306,446,,1984
SAK,Saskatchewan Roughriders,6,9,1,0.406,348,479,,1984
TOR,Toronto Argonauts,9,6,1,0.594,241,506,Lost Division Final,1984
WIN,Winnipeg Blue Bombers,11,4,1,0.719,523,309,Won Grey Cup,1984
BCL,BC Lions,13,3,0,0.812,481,297,Won Grey Cup,1985
CAL,Calgary Stampeders,3,13,0,0.188,256,429,,1985
EDM,Edmonton Eskimos,10,6,0,0.625,432,373,Lost Division Semifinal,1985
HAM,Hamilton Tiger-Cats,8,8,0,0.5,377,315,Lost Grey Cup,1985
MON,Montreal Concordes,8,8,0,0.5,284,332,Lost Division Final,1985
OTT,Ottawa Rough Riders,7,9,0,0.438,376,462,Lost Division Semifinal,1985
SAK,Saskatchewan Roughriders,5,11,0,0.312,320,462,,1985
TOR,Toronto Argonauts,6,10,0,0.375,426,426,,1985
WIN,Winnipeg Blue Bombers,12,4,0,0.75,500,259,Lost Division Final,1985
BCL,BC Lions,12,6,0,0.667,441,410,Lost Division Final,1986
CAL,Calgary Stampeders,11,7,0,0.611,484,380,Lost Division Semifinal,1986
EDM,Edmonton Eskimos,13,4,1,0.75,540,365,Lost Grey Cup,1986
HAM,Hamilton Tiger-Cats,9,8,1,0.528,405,366,Won Grey Cup,1986
MON,Montreal Alouettes,4,14,0,0.222,320,500,,1986
OTT,Ottawa Rough Riders,3,14,1,0.194,384,424,,1986
SAK,Saskatchewan Roughriders,6,11,1,0.361,382,517,,1986
TOR,Toronto Argonauts,10,8,0,0.556,452,328,Lost Division Final,1986
WIN,Winnipeg Blue Bombers,11,7,0,0.611,545,387,Lost Division Semifinal,1986
BCL,BC Lions,12,6,0,0.667,502,370,Lost Division Final,1987
CAL,Calgary Stampeders,10,8,0,0.556,453,517,Lost Division Semifinal,1987
EDM,Edmonton Eskimos,11,7,0,0.611,617,462,Won Grey Cup,1987
HAM,Hamilton Tiger-Cats,7,11,0,0.389,470,509,Lost Division Semifinal,1987
OTT,Ottawa Rough Riders,3,15,0,0.167,354,507,,1987
SAK,Saskatchewan Roughriders,5,12,1,0.306,364,529,,1987
TOR,Toronto Argonauts,11,6,1,0.639,461,361,Lost Grey Cup,1987
WIN,Winnipeg Blue Bombers,12,6,0,0.667,554,409,Lost Division Final,1987
BCL,BC Lions,10,8,0,0.556,489,417,Lost Grey Cup,1988
CAL,Calgary Stampeders,6,12,0,0.333,395,476,,1988
EDM,Edmonton Eskimos,11,7,0,0.611,477,408,Lost Division Final,1988
HAM,Hamilton Tiger-Cats,9,9,0,0.5,478,465,Lost Division Semifinal,1988
OTT,Ottawa Rough Riders,2,16,0,0.111,272,402,,1988
SAK,Saskatchewan Roughriders,11,7,0,0.611,525,452,Lost Division Semifinal,1988
TOR,Toronto Argonauts,14,4,0,0.778,344,397,Lost Division Final,1988
WIN,Winnipeg Blue Bombers,9,9,0,0.5,407,458,Won Grey Cup,1988
BCL,BC Lions,7,11,0,0.389,521,557,,1989
CAL,Calgary Stampeders,10,8,0,0.556,495,466,Lost Division Semifinal,1989
EDM,Edmonton Eskimos,16,2,0,0.889,644,302,Lost Division Final,1989
HAM,Hamilton Tiger-Cats,12,6,0,0.667,519,517,Lost Grey Cup,1989
OTT,Ottawa Rough Riders,4,14,0,0.222,346,514,,1989
SAK,Saskatchewan Roughriders,9,9,0,0.5,547,567,Won Grey Cup,1989
TOR,Toronto Argonauts,7,11,0,0.389,417,441,Lost Division Semifinal,1989
WIN,Winnipeg Blue Bombers,7,11,0,0.389,408,462,Lost Division Final,1989
BCL,BC Lions,6,11,1,0.361,520,620,,1990
CAL,Calgary Stampeders,11,6,1,0.639,588,566,Lost Division Final,1990
EDM,Edmonton Eskimos,10,8,0,0.556,612,510,Lost Grey Cup,1990
HAM,Hamilton Tiger-Cats,6,12,0,0.333,476,628,,1990
OTT,Ottawa Rough Riders,7,11,0,0.389,540,602,Lost Division Semifinal,1990
SAK,Saskatchewan Roughriders,9,9,0,0.5,557,592,Lost Division Semifinal,1990
TOR,Toronto Argonauts,10,8,0,0.556,689,538,Lost Division Final,1990
WIN,Winnipeg Blue Bombers,12,6,0,0.667,472,398,Won Grey Cup,1990
BCL,BC Lions,11,7,0,0.611,661,587,Lost Division Semifinal,1991
CAL,Calgary Stampeders,11,7,0,0.611,596,552,Lost Grey Cup,1991
EDM,Edmonton Eskimos,12,6,0,0.667,671,569,Lost Division Final,1991
HAM,Hamilton Tiger-Cats,3,15,0,0.167,400,599,,1991
OTT,Ottawa Rough Riders,7,11,0,0.389,522,577,Lost Division Semifinal,1991
SAK,Saskatchewan Roughriders,6,12,0,0.333,606,710,,1991
TOR,Toronto Argonauts,13,5,0,0.722,647,526,Won Grey Cup,1991
WIN,Winnipeg Blue Bombers,9,9,0,0.5,516,499,Lost Division Final,1991
BCL,BC Lions,3,15,0,0.167,472,667,,1992
CAL,Calgary Stampeders,13,5,0,0.722,607,430,Won Grey Cup,1992
EDM,Edmonton Eskimos,10,8,0,0.556,552,515,Lost Division Final,1992
HAM,Hamilton Tiger-Cats,11,7,0,0.611,536,514,Lost Division Final,1992
OTT,Ottawa Rough Riders,9,9,0,0.5,484,439,Lost Division Semifinal,1992
SAK,Saskatchewan Roughriders,9,9,0,0.5,505,545,Lost Division Semifinal,1992
TOR,Toronto Argonauts,6,12,0,0.333,469,523,,1992
WIN,Winnipeg Blue Bombers,11,7,0,0.611,507,499,Lost Grey Cup,1992
BCL,BC Lions,10,8,0,0.556,574,583,Lost Division Semifinal,1993
CAL,Calgary Stampeders,15,3,0,0.833,646,418,Lost Division Final,1993
EDM,Edmonton Eskimos,12,6,0,0.667,507,372,Won Grey Cup,1993
HAM,Hamilton Tiger-Cats,6,12,0,0.333,316,567,Lost Division Final,1993
OTT,Ottawa Rough Riders,4,14,0,0.222,387,517,Lost Division Semifinal,1993
SGM,Sacramento Gold Miners,6,12,0,0.333,498,509,,1993
SAK,Saskatchewan Roughriders,11,7,0,0.611,511,495,Lost Division Semifinal,1993
TOR,Toronto Argonauts,3,15,0,0.167,390,593,,1993
WIN,Winnipeg Blue Bombers,14,4,0,0.778,646,421,Lost Grey Cup,1993
BAL,Baltimore CFLs,12,6,0,0.667,561,431,Lost Grey Cup,1994
BCL,BC Lions,11,6,1,0.639,604,456,Won Grey Cup,1994
CAL,Calgary Stampeders,15,3,0,0.833,698,355,Lost Division Final,1994
EDM,Edmonton Eskimos,13,5,0,0.722,518,401,Lost Division Semifinal,1994
HAM,Hamilton Tiger-Cats,4,14,0,0.222,427,509,,1994
LVP,Las Vegas Posse,5,13,0,0.278,447,622,,1994
OTT,Ottawa Rough Riders,4,14,0,0.222,348,685,Lost Division Semifinal,1994
SGM,Sacramento Gold Miners,9,8,1,0.528,436,436,,1994
SAK,Saskatchewan Roughriders,11,7,0,0.611,512,454,Lost Division Semifinal,1994
SPP,Shreveport Pirates,3,15,0,0.167,330,662,,1994
TOR,Toronto Argonauts,7,11,0,0.389,376,519,Lost Division Semifinal,1994
WIN,Winnipeg Blue Bombers,13,5,0,0.722,404,653,Lost Division Final,1994
BAL,Baltimore CFLs,15,3,0,0.833,541,369,Won Grey Cup,1995
BCL,BC Lions,10,8,0,0.556,535,470,Lost Division Semifinal,1995
BHB,Birmingham Barracudas,10,8,0,0.556,548,518,Lost Division Semifinal,1995
CAL,Calgary Stampeders,15,3,0,0.833,631,404,Lost Grey Cup,1995
EDM,Edmonton Eskimos,13,5,0,0.722,599,359,Lost Division Final,1995
HAM,Hamilton Tiger-Cats,8,10,0,0.444,435,562,Lost Division Semifinal,1995
MMD,Memphis Mad Dogs,9,9,0,0.5,346,364,,1995
OTT,Ottawa Rough Riders,3,15,0,0.167,480,647,,1995
SAT,San Antonio Texans,12,6,0,0.667,630,457,Lost Division Final,1995
SAK,Saskatchewan Roughriders,6,12,0,0.333,422,451,,1995
SPP,Shreveport Pirates,5,13,0,0.278,465,514,,1995
TOR,Toronto Argonauts,4,14,0,0.222,504,578,,1995
WIN,Winnipeg Blue Bombers,7,11,0,0.389,651,572,Lost Division Semifinal,1995
BCL,BC Lions,5,13,0,0.278,410,486,,1996
CAL,Calgary Stampeders,13,5,0,0.722,608,365,Lost Division Final,1996
EDM,Edmonton Eskimos,11,7,0,0.611,459,354,Lost Grey Cup,1996
HAM,Hamilton Tiger-Cats,8,10,0,0.444,426,576,Lost Division Semifinal,1996
MON,Montreal Alouettes,12,6,0,0.667,534,469,Lost Division Final,1996
OTT,Ottawa Rough Riders,3,15,0,0.167,353,524,,1996
SAK,Saskatchewan Roughriders,5,13,0,0.278,360,498,,1996
TOR,Toronto Argonauts,15,3,0,0.833,660,327,Won Grey Cup,1996
WIN,Winnipeg Blue Bombers,9,9,0,0.5,421,496,Lost Division Semifinal,1996
BCL,BC Lions,8,10,0,0.444,429,536,Lost Division Semifinal,1997
CAL,Calgary Stampeders,10,8,0,0.556,519,443,Lost Division Semifinal,1997
EDM,Edmonton Eskimos,12,6,0,0.667,479,400,Lost Division Final,1997
HAM,Hamilton Tiger-Cats,2,16,0,0.111,362,549,,1997
MON,Montreal Alouettes,13,5,0,0.722,509,532,Lost Division Final,1997
SAK,Saskatchewan Roughriders,8,10,0,0.444,413,479,Lost Grey Cup,1997
TOR,Toronto Argonauts,15,3,0,0.833,452,410,Won Grey Cup,1997
WIN,Winnipeg Blue Bombers,4,14,0,0.222,443,548,,1997
BCL,BC Lions,9,9,0,0.5,394,427,Lost Division Semifinal,1998
CAL,Calgary Stampeders,12,6,0,0.667,558,397,Won Grey Cup,1998
EDM,Edmonton Eskimos,9,9,0,0.5,396,450,Lost Division Final,1998
HAM,Hamilton Tiger-Cats,12,5,1,0.694,503,351,Lost Grey Cup,1998
MON,Montreal Alouettes,12,5,1,0.694,470,435,Lost Division Final,1998
SAK,Saskatchewan Roughriders,5,13,0,0.278,411,525,,1998
TOR,Toronto Argonauts,9,9,0,0.5,386,373,Lost Division Semifinal,1998
WIN,Winnipeg Blue Bombers,3,15,0,0.167,399,588,,1998
BCL,BC Lions,13,5,0,0.722,429,373,Lost Division Final,1999
CAL,Calgary Stampeders,12,6,0,0.667,503,393,Lost Grey Cup,1999
EDM,Edmonton Eskimos,6,12,0,0.333,459,502,Lost Division Semifinal,1999
HAM,Hamilton Tiger-Cats,11,7,0,0.611,603,378,Won Grey Cup,1999
MON,Montreal Alouettes,12,6,0,0.667,495,395,Lost Division Final,1999
SAK,Saskatchewan Roughriders,3,15,0,0.167,370,592,,1999
TOR,Toronto Argonauts,9,9,0,0.5,556,359,Lost Division Semifinal,1999
WIN,Winnipeg Blue Bombers,6,12,0,0.333,362,601,,1999
BCL,BC Lions,8,10,0,0.444,513,529,Won Grey Cup,2000
CAL,Calgary Stampeders,12,5,1,0.694,604,495,Lost Division Final,2000
EDM,Edmonton Eskimos,10,8,0,0.556,527,520,Lost Division Semifinal,2000
HAM,Hamilton Tiger-Cats,9,9,0,0.5,470,446,Lost Division Semifinal,2000
MON,Montreal Alouettes,12,6,0,0.667,594,379,Lost Grey Cup,2000
SAK,Saskatchewan Roughriders,5,12,1,0.306,516,626,,2000
TOR,Toronto Argonauts,7,10,1,0.417,390,562,,2000
WIN,Winnipeg Blue Bombers,7,10,1,0.417,539,596,Lost Division Final,2000
BCL,BC Lions,8,10,0,0.444,417,445,Lost Division Semifinal,2001
CAL,Calgary Stampeders,8,10,0,0.444,478,476,Won Grey Cup,2001
EDM,Edmonton Eskimos,9,9,0,0.5,439,463,Lost Division Final,2001
HAM,Hamilton Tiger-Cats,11,7,0,0.611,440,420,Lost Division Final,2001
MON,Montreal Alouettes,9,9,0,0.5,454,419,Lost Division Semifinal,2001
SAK,Saskatchewan Roughriders,6,12,0,0.333,308,416,,2001
TOR,Toronto Argonauts,7,11,0,0.389,432,455,,2001
WIN,Winnipeg Blue Bombers,14,4,0,0.778,509,383,Lost Grey Cup,2001
BCL,BC Lions,10,8,0,0.556,480,399,Lost Division Semifinal,2002
CAL,Calgary Stampeders,6,12,0,0.333,438,512,,2002
EDM,Edmonton Eskimos,13,5,0,0.722,516,450,Lost Grey Cup,2002
HAM,Hamilton Tiger-Cats,7,11,0,0.389,427,524,,2002
MON,Montreal Alouettes,13,5,0,0.722,577,408,Won Grey Cup,2002
OTT,Ottawa Renegades,4,14,0,0.222,356,550,,2002
SAK,Saskatchewan Roughriders,8,10,0,0.444,435,393,Lost Division Semifinal,2002
TOR,Toronto Argonauts,8,10,0,0.444,359,343,Lost Division Final,2002
WIN,Winnipeg Blue Bombers,12,6,0,0.667,362,408,Lost Division Final,2002
BCL,BC Lions,11,7,0,0.611,531,430,Lost Division Semifinal,2003
CAL,Calgary Stampeders,5,13,0,0.278,323,502,,2003
EDM,Edmonton Eskimos,13,5,0,0.722,569,414,Won Grey Cup,2003
HAM,Hamilton Tiger-Cats,1,17,0,0.056,293,583,,2003
MON,Montreal Alouettes,13,5,0,0.722,562,409,Lost Grey Cup,2003
OTT,Ottawa Renegades,7,11,0,0.389,467,581,,2003
SAK,Saskatchewan Roughriders,11,7,0,0.611,535,430,Lost Division Final,2003
TOR,Toronto Argonauts,9,9,0,0.5,440,336,Lost Division Final,2003
WIN,Winnipeg Blue Bombers,11,7,0,0.611,439,404,Lost Division Semifinal,2003
BCL,BC Lions,13,5,0,0.722,584,436,Lost Grey Cup,2004
CAL,Calgary Stampeders,4,14,0,0.222,396,552,,2004
EDM,Edmonton Eskimos,9,9,0,0.5,532,472,Lost Division Semifinal,2004
HAM,Hamilton Tiger-Cats,9,8,1,0.528,455,542,Lost Division Semifinal,2004
MON,Montreal Alouettes,14,4,0,0.778,584,371,Lost Division Final,2004
OTT,Ottawa Renegades,5,13,0,0.278,401,560,,2004
SAK,Saskatchewan Roughriders,9,9,0,0.5,476,444,Lost Division Final,2004
TOR,Toronto Argonauts,10,7,1,0.583,397,627,Won Grey Cup,2004
WIN,Winnipeg Blue Bombers,7,11,0,0.389,435,490,,2004
BCL,BC Lions,12,6,0,0.667,550,444,Lost Division Final,2005
CAL,Calgary Stampeders,11,7,0,0.611,529,443,Lost Division Semifinal,2005
EDM,Edmonton Eskimos,11,7,0,0.611,453,421,Won Grey Cup,2005
HAM,Hamilton Tiger-Cats,5,13,0,0.278,383,583,,2005
MON,Montreal Alouettes,10,8,0,0.556,592,519,Lost Grey Cup,2005
OTT,Ottawa Renegades,7,11,0,0.389,458,578,,2005
SAK,Saskatchewan Roughriders,9,9,0,0.5,441,433,Lost Division Semifinal,2005
TOR,Toronto Argonauts,11,7,0,0.611,328,502,Lost Division Final,2005
WIN,Winnipeg Blue Bombers,5,13,0,0.278,386,506,,2005
BCL,BC Lions,13,5,0,0.722,555,355,Won Grey Cup,2006
CAL,Calgary Stampeders,10,8,0,0.556,477,426,Lost Division Semifinal,2006
EDM,Edmonton Eskimos,7,11,0,0.389,399,468,,2006
HAM,Hamilton Tiger-Cats,4,14,0,0.222,292,495,,2006
MON,Montreal Alouettes,10,8,0,0.556,451,431,Lost Grey Cup,2006
SAK,Saskatchewan Roughriders,9,9,0,0.5,465,434,Lost Division Final,2006
TOR,Toronto Argonauts,10,8,0,0.556,344,482,Lost Division Final,2006
WIN,Winnipeg Blue Bombers,9,9,0,0.5,566,421,Lost Division Semifinal,2006
BCL,BC Lions,14,3,1,0.806,542,379,Lost Division Final,2007
CAL,Calgary Stampeders,7,10,1,0.417,473,527,Lost Division Semifinal,2007
EDM,Edmonton Eskimos,5,12,1,0.306,400,509,,2007
HAM,Hamilton Tiger-Cats,3,15,0,0.167,315,515,,2007
MON,Montreal Alouettes,8,10,0,0.444,398,433,Lost Division Semifinal,2007
SAK,Saskatchewan Roughriders,12,6,0,0.667,530,434,Won Grey Cup,2007
TOR,Toronto Argonauts,11,7,0,0.611,473,433,Lost Division Final,2007
WIN,Winnipeg Blue Bombers,10,7,1,0.583,514,485,Lost Grey Cup,2007
BCL,BC Lions,11,7,0,0.611,559,479,Lost Division Final,2008
CAL,Calgary Stampeders,13,5,0,0.722,595,420,Won Grey Cup,2008
EDM,Edmonton Eskimos,10,8,0,0.556,512,526,Lost Division Final,2008
HAM,Hamilton Tiger-Cats,3,15,0,0.167,441,593,,2008
MON,Montreal Alouettes,11,7,0,0.611,610,443,Lost Grey Cup,2008
SAK,Saskatchewan Roughriders,12,6,0,0.667,500,471,Lost Division Semifinal,2008
TOR,Toronto Argonauts,4,14,0,0.222,422,414,,2008
WIN,Winnipeg Blue Bombers,8,10,0,0.444,448,507,Lost Division Semifinal,2008
BCL,BC Lions,8,10,0,0.444,431,502,Lost Division Final,2009
CAL,Calgary Stampeders,10,7,1,0.583,514,443,Lost Division Final,2009
EDM,Edmonton Eskimos,9,9,0,0.5,469,502,Lost Division Semifinal,2009
HAM,Hamilton Tiger-Cats,9,9,0,0.5,449,428,Lost Division Semifinal,2009
MON,Montreal Alouettes,15,3,0,0.833,600,324,Won Grey Cup,2009
SAK,Saskatchewan Roughriders,10,7,1,0.583,514,484,Lost Grey Cup,2009
TOR,Toronto Argonauts,3,15,0,0.167,486,387,,2009
WIN,Winnipeg Blue Bombers,7,11,0,0.389,474,558,,2009
BCL,BC Lions,8,10,0,0.444,466,466,Lost Division Semifinal,2010
CAL,Calgary Stampeders,13,5,0,0.722,626,459,Lost Division Final,2010
EDM,Edmonton Eskimos,8,10,0,0.444,382,545,,2010
HAM,Hamilton Tiger-Cats,9,9,0,0.5,481,450,Lost Division Semifinal,2010
MON,Montreal Alouettes,12,6,0,0.667,521,475,Won Grey Cup,2010
SAK,Saskatchewan Roughriders,10,8,0,0.556,497,488,Lost Grey Cup,2010
TOR,Toronto Argonauts,9,9,0,0.5,373,442,Lost Division Final,2010
WIN,Winnipeg Blue Bombers,4,14,0,0.222,464,485,,2010
BCL,BC Lions,11,7,0,0.611,511,385,Won Grey Cup,2011
CAL,Calgary Stampeders,11,7,0,0.611,511,476,Lost Division Semifinal,2011
EDM,Edmonton Eskimos,11,7,0,0.611,427,401,Lost Division Final,2011
HAM,Hamilton Tiger-Cats,8,10,0,0.444,481,478,Lost Division Final,2011
MON,Montreal Alouettes,10,8,0,0.556,515,468,Lost Division Semifinal,2011
SAK,Saskatchewan Roughriders,5,13,0,0.278,346,482,,2011
TOR,Toronto Argonauts,6,12,0,0.333,397,498,,2011
WIN,Winnipeg Blue Bombers,10,8,0,0.556,432,432,Lost Grey Cup,2011
BCL,BC Lions,13,5,0,0.722,479,354,Lost Division Final,2012
CAL,Calgary Stampeders,12,6,0,0.667,535,430,Lost Grey Cup,2012
EDM,Edmonton Eskimos,7,11,0,0.389,422,450,Lost Division Semifinal,2012
HAM,Hamilton Tiger-Cats,6,12,0,0.333,538,576,,2012
MON,Montreal Alouettes,11,7,0,0.611,478,489,Lost Division Final,2012
SAK,Saskatchewan Roughriders,8,10,0,0.444,457,409,Lost Division Semifinal,2012
TOR,Toronto Argonauts,9,9,0,0.5,445,491,Won Grey Cup,2012
WIN,Winnipeg Blue Bombers,6,12,0,0.333,376,531,,2012
BCL,BC Lions,11,7,0,0.611,504,461,Lost Division Final,2013
CAL,Calgary Stampeders,14,4,0,0.778,549,413,Lost Division Semifinal,2013
EDM,Edmonton Eskimos,4,14,0,0.222,421,519,,2013
HAM,Hamilton Tiger-Cats,10,8,0,0.556,453,468,Lost Grey Cup,2013
MON,Montreal Alouettes,8,10,0,0.444,459,471,Lost Division Final,2013
SAK,Saskatchewan Roughriders,11,7,0,0.611,519,398,Won Grey Cup,2013
TOR,Toronto Argonauts,11,7,0,0.611,507,458,Lost Division Semifinal,2013
WIN,Winnipeg Blue Bombers,3,15,0,0.167,361,585,,2013
BCL,BC Lions,9,9,0,0.5,380,365,Lost Division Semifinal,2014
CAL,Calgary Stampeders,15,3,0,0.833,511,347,Won Grey Cup,2014
EDM,Edmonton Eskimos,12,6,0,0.667,492,340,Lost Division Final,2014
HAM,Hamilton Tiger-Cats,9,9,0,0.5,417,395,Lost Grey Cup,2014
MON,Montreal Alouettes,9,9,0,0.5,360,394,Lost Division Final,2014
OTT,Ottawa RedBlacks,2,16,0,0.111,278,465,,2014
SAK,Saskatchewan Roughriders,10,8,0,0.556,399,441,Lost Division Semifinal,2014
TOR,Toronto Argonauts,8,10,0,0.444,450,456,,2014
WIN,Winnipeg Blue Bombers,7,11,0,0.389,397,481,,2014
BCL,BC Lions,7,11,0,0.389,437,486,Lost Division Semifinal,2015
CAL,Calgary Stampeders,14,4,0,0.778,476,346,Lost Division Final,2015
EDM,Edmonton Eskimos,14,4,0,0.778,466,341,Won Grey Cup,2015
HAM,Hamilton Tiger-Cats,10,8,0,0.556,530,391,Lost Division Final,2015
MON,Montreal Alouettes,6,12,0,0.333,389,402,,2015
OTT,Ottawa RedBlacks,12,6,0,0.667,464,455,Lost Grey Cup,2015
SAK,Saskatchewan Roughriders,3,15,0,0.167,430,561,,2015
TOR,Toronto Argonauts,10,8,0,0.556,438,499,Lost Division Semifinal,2015
WIN,Winnipeg Blue Bombers,5,13,0,0.278,353,502,,2015
BCL,BC Lions,12,6,0,0.667,545,454,Lost Division Final,2016
CAL,Calgary Stampeders,15,2,1,0.861,586,369,Lost Grey Cup,2016
EDM,Edmonton Eskimos,10,8,0,0.556,549,496,Lost Division Final,2016
HAM,Hamilton Tiger-Cats,7,11,0,0.389,507,502,Lost Division Semifinal,2016
MON,Montreal Alouettes,7,11,0,0.389,383,415,,2016
OTT,Ottawa RedBlacks,8,9,1,0.472,486,498,Won Grey Cup,2016
SAK,Saskatchewan Roughriders,5,13,0,0.278,350,530,,2016
TOR,Toronto Argonauts,5,13,0,0.278,383,568,,2016
WIN,Winnipeg Blue Bombers,11,7,0,0.611,497,454,Lost Division Semifinal,2016
BCL,BC Lions,7,11,0,0.389,469,501,,2017
CAL,Calgary Stampeders,13,4,1,0.75,523,349,Lost Grey Cup,2017
EDM,Edmonton Eskimos,12,6,0,0.667,510,495,Lost Division Final,2017
HAM,Hamilton Tiger-Cats,6,12,0,0.333,443,545,,2017
MON,Montreal Alouettes,3,15,0,0.167,314,580,,2017
OTT,Ottawa RedBlacks,8,9,1,0.472,495,452,Lost Division Semifinal,2017
SAK,Saskatchewan Roughriders,10,8,0,0.556,510,430,Lost Division Final,2017
TOR,Toronto Argonauts,9,9,0,0.5,482,456,Won Grey Cup,2017
WIN,Winnipeg Blue Bombers,12,6,0,0.667,554,492,Lost Division Semifinal,2017
BCL,BC Lions,9,9,0,0.5,423,473,Lost Division Semifinal,2018
CAL,Calgary Stampeders,13,5,0,0.722,522,363,Won Grey Cup,2018
EDM,Edmonton Eskimos,9,9,0,0.5,482,471,,2018
HAM,Hamilton Tiger-Cats,8,10,0,0.444,513,456,Lost Division Final,2018
MON,Montreal Alouettes,5,13,0,0.278,345,512,,2018
OTT,Ottawa RedBlacks,11,7,0,0.611,464,420,Lost Grey Cup,2018
SAK,Saskatchewan Roughriders,12,6,0,0.667,450,444,Lost Division Semifinal,2018
TOR,Toronto Argonauts,4,14,0,0.222,369,560,,2018
WIN,Winnipeg Blue Bombers,10,8,0,0.556,550,419,Lost Division Final,2018
BCL,BC Lions,5,13,0,0.278,411,452,,2019
CAL,Calgary Stampeders,12,6,0,0.667,482,407,Lost Division Semifinal,2019
EDM,Edmonton Eskimos,8,10,0,0.444,406,400,Lost Division Final,2019
HAM,Hamilton Tiger-Cats,15,3,0,0.833,551,344,Lost Grey Cup,2019
MON,Montreal Alouettes,10,8,0,0.556,479,485,Lost Division Semifinal,2019
OTT,Ottawa RedBlacks,3,15,0,0.167,312,564,,2019
SAK,Saskatchewan Roughriders,13,5,0,0.722,487,386,Lost Division Final,2019
TOR,Toronto Argonauts,4,14,0,0.222,373,562,,2019
WIN,Winnipeg Blue Bombers,11,7,0,0.611,508,409,Won Grey Cup,2019
BCL,BC Lions,5,9,0,0.357,312,351,,2021
CAL,Calgary Stampeders,8,6,0,0.571,315,263,Lost Division Semifinal,2021
EDM,Edmonton Elks,3,11,0,0.214,246,378,,2021
HAM,Hamilton Tiger-Cats,8,6,0,0.571,312,244,Lost Grey Cup,2021
MON,Montreal Alouettes,7,7,0,0.5,346,305,Lost Division Semifinal,2021
OTT,Ottawa RedBlacks,3,11,0,0.214,224,384,,2021
SAK,Saskatchewan Roughriders,9,5,0,0.643,290,284,Lost Division Final,2021
TOR,Toronto Argonauts,9,5,0,0.643,309,318,Lost Division Final,2021
WIN,Winnipeg Blue Bombers,11,3,0,0.786,361,188,Won Grey Cup,2021
