franchID,City,Team,yearID,LG,Ord,G,W,L,T,Cwin,CRU
SHR,Shochiku,Robins,1950,C,1,137,98,35,4,N,Y
CDR,Chuncihi,Dragons,1950,C,2,137,89,44,4,N,N
YMG,Yomiuri,Giants,1950,C,3,140,82,54,4,N,N
HAN,Osaka,Tigers,1950,C,4,140,70,67,3,N,N
YOK,Taiyo,Whales,1950,C,5,140,69,68,3,N,N
NPR,Nishi Nippon,Pirates,1950,C,6,136,50,83,3,N,N
TYS,Kokutetsu,Swallows,1950,C,7,138,42,94,2,N,N
HIR,Hiroshima,Carp,1950,C,8,138,41,96,1,N,N
CLM,Manichi,Orions,1950,P,1,120,81,34,5,Y,N
FUK,Nankai,Hawks,1950,P,2,120,66,49,5,N,N
DAI,Daiei,Stars,1950,P,3,120,62,54,4,N,N
BUF,Hankyu,Braves,1950,P,4,120,54,64,2,N,N
SSL,Nishitetsu,Clippers,1950,P,5,120,51,67,2,N,N
HNF,Tokyo,Flyers,1950,P,6,120,51,69,0,N,N
KIN,Kintetsu,Pearls,1950,P,7,120,44,72,4,N,N
YMG,Yomiuri,Giants,1951,C,1,114,79,29,6,Y,N
CDR,Nagoya,Dragons,1951,C,2,113,62,48,3,N,N
HAN,Osaka,Tigers,1951,C,3,116,61,52,3,N,N
SHR,Shochiku,Robins,1951,C,4,115,53,57,5,N,N
TYS,Koketsu,Swallows,1951,C,5,107,46,59,2,N,N
YOK,Taiyo,Whales,1951,C,6,108,40,64,4,N,N
HIR,Hiroshima,Carp,1951,C,7,99,32,64,3,N,N
FUK,Nankai,Hawks,1951,P,1,104,72,24,8,N,Y
SSL,Nishitetsu,Lions,1951,P,2,105,53,42,10,N,N
CLM,Manichi,Orions,1951,P,3,110,54,51,5,N,N
DAI,Daiei,Stars,1951,P,4,101,41,52,8,N,N
BUF,Hankyu,Braves,1951,P,5,96,37,51,8,N,N
HNF,Tokyo,Flyers,1951,P,6,102,38,56,8,N,N
KIN,Kintetsu,Pearls,1951,P,7,98,37,56,5,N,N
YMG,Yomiuri,Giants,1952,C,1,120,83,37,0,Y,N
HAN,Osaka,Tigers,1952,C,2,120,79,40,1,N,N
CDR,Nagoya,Dragons,1952,C,3,120,75,43,2,N,N
YOK,Taiyo,Whales,1952,C,4,120,58,62,0,N,N
TYS,Koketsu,Swallows,1952,C,5,120,50,70,0,N,N
HIR,Hiroshima,Carp,1952,C,6,120,37,80,3,N,N
SHR,Shochiku,Robins,1952,C,7,120,34,84,2,N,N
FUK,Nankai,Hawks,1952,P,1,121,76,44,1,N,Y
CDR,Manichi,Dragons,1952,P,2,120,75,45,0,N,N
SSL,Nishitetsu,Lions,1952,P,3,120,67,52,1,N,N
DAI,Daiei,Stars,1952,P,4,121,55,65,1,N,N
BUF,Hankyu,Braves,1952,P,5,108,49,58,1,N,N
HNF,Tokyo,Flyers,1952,P,6,108,49,59,0,N,N
KIN,Kintetsu,Pearls,1952,P,7,108,30,78,0,N,N
YMG,Yomiuri,Giants,1953,C,1,125,87,37,1,Y,N
HAN,Osaka,Tigers,1953,C,2,130,74,56,0,N,N
CDR,Chuncihi,Dragons,1953,C,3,130,70,57,3,N,N
HIR,Hiroshima,Carp,1953,C,4,130,53,75,2,N,N
YOK,Taiyo,Robins,1953,C,5,130,52,77,1,N,N
TYS,Kokutetsu,Swallows,1953,C,6,125,45,79,1,N,N
FUK,Nankai,Hawks,1953,P,1,120,71,48,1,N,Y
BUF,Hankyu,Braves,1953,P,2,120,67,52,1,N,N
DAI,Daiei,Stars,1953,P,3,120,63,53,4,N,N
SSL,Nishitetsu,Lions,1953,P,4,120,57,61,2,N,N
CLM,Manichi,Orions,1953,P,5,120,56,62,2,N,N
HNF,Tokyo,Flyers,1953,P,6,120,50,67,3,N,N
KIN,Kintetsu,Pearls,1953,P,7,120,48,69,3,N,N
CDR,Chuncihi,Dragons,1954,C,1,130,86,40,4,Y,N
CDR,Yomiuri,Dragons,1954,C,2,130,82,47,1,N,N
HAN,Osaka,Tigers,1954,C,3,130,71,57,2,N,N
HIR,Hiroshima,Carp,1954,C,4,130,56,69,5,N,N
TYS,Kokutetsu,Swallows,1954,C,5,130,55,73,2,N,N
YMG,Yomiuri,Giants,1954,C,6,130,32,96,2,N,N
SSL,Nishitetsu,Lions,1954,P,1,140,90,47,3,N,Y
FUK,Nankai,Hawks,1954,P,2,140,91,49,0,N,N
CLM,Manichi,Orions,1954,P,3,140,79,57,4,N,N
KIN,Kintetsu,Pearls,1954,P,4,140,74,63,3,N,N
BUF,Hankyu,Braves,1954,P,5,140,66,70,4,N,N
TUN,Takahashi,Unions,1954,P,6,140,53,84,3,N,N
HNF,Toei,Flyers,1954,P,7,140,52,86,2,N,N
DAI,Daiei,Stars,1954,P,8,140,43,92,5,N,N
YMG,Yomiuri,Giants,1955,C,1,130,92,37,1,Y,N
HAN,Osaka,Tigers,1955,C,2,130,77,52,1,N,N
CDR,Chuncihi,Dragons,1955,C,3,130,71,57,2,N,N
HIR,Hiroshima,Carp,1955,C,4,130,58,70,2,N,N
TYS,Kokutetsu,Swallows,1955,C,5,130,57,71,2,N,N
YOK,Taiyo,Whales,1955,C,6,130,31,99,0,N,N
FUK,Nankai,Hawks,1955,P,1,143,99,41,3,N,Y
SSL,Nishitetsu,Lions,1955,P,2,144,90,50,4,N,N
CLM,Manichi,Orions,1955,P,3,142,85,55,2,N,N
BUF,Hankyu,Braves,1955,P,4,142,80,60,2,N,N
KIN,Kintetsu,Pearls,1955,P,5,142,60,80,2,N,N
DAI,Daiei,Stars,1955,P,6,141,53,87,1,N,N
HNF,Toei,Flyers,1955,P,7,143,51,89,3,N,N
TUN,Tombo,Unions,1955,P,8,141,42,98,1,N,N
YMG,Yomiuri,Giants,1956,C,1,130,82,44,4,N,Y
HAN,Osaka,Tigers,1956,C,2,130,79,50,1,N,N
CDR,Chuncihi,Dragons,1956,C,3,130,74,56,0,N,N
TYS,Kokutetsu,Swallows,1956,C,4,130,61,65,4,N,N
HIR,Hiroshima,Carp,1956,C,5,130,45,82,3,N,N
YOK,Taiyo,Whales,1956,C,6,130,43,87,0,N,N
SSL,Nishitetsu,Lions,1956,P,1,154,96,51,7,Y,N
FUK,Nankai,Hawks,1956,P,2,154,96,52,6,N,N
BUF,Hankyu,Braves,1956,P,3,154,88,64,2,N,N
CLM,Manichi,Orions,1956,P,4,154,84,66,4,N,N
KIN,Kintetsu,Pearls,1956,P,5,154,68,82,4,N,N
HNF,Toei,Flyers,1956,P,6,154,58,92,4,N,N
DAI,Daiei,Stars,1956,P,7,154,57,94,3,N,N
TUN,Takahashi,Unions,1956,P,8,154,52,98,4,N,N
YMG,Yomiuri,Giants,1957,C,1,130,74,53,3,N,Y
HAN,Osaka,Tigers,1957,C,2,130,73,54,3,N,N
CDR,Chuncihi,Dragons,1957,C,3,130,70,57,3,N,N
TYS,Kokutetsu,Swallows,1957,C,4,130,58,68,4,N,N
HIR,Hiroshima,Carp,1957,C,5,130,54,75,1,N,N
YOK,Taiyo,Whales,1957,C,6,130,52,74,4,N,N
SSL,Nishitetsu,Lions,1957,P,1,132,83,44,5,Y,N
FUK,Nankai,Hawks,1957,P,2,132,78,53,1,N,N
CLM,Manichi,Orions,1957,P,3,132,75,52,5,N,N
BUF,Hankyu,Braves,1957,P,4,132,71,55,6,N,N
HNF,Toei,Flyers,1957,P,5,132,56,73,3,N,N
KIN,Kintetsu,Pearls,1957,P,6,132,44,82,6,N,N
DAI,Daiei,Unions,1957,P,7,132,41,89,2,N,N
YMG,Yomiuri,Giants,1958,C,1,130,77,52,1,N,Y
HAN,Osaka,Tigers,1958,C,2,130,72,58,0,N,N
CDR,Chuncihi,Dragons,1958,C,3,130,66,59,5,N,N
TYS,Kokutetsu,Swallows,1958,C,4,130,58,68,4,N,N
HIR,Hiroshima,Carp,1958,C,5,130,54,68,8,N,N
YOK,Taiyo,Whales,1958,C,6,130,51,73,6,N,N
SSL,Nishitetsu,Lions,1958,P,1,130,78,47,5,Y,N
FUK,Nankai,Hawks,1958,P,2,130,77,48,5,N,N
BUF,Hankyu,Braves,1958,P,3,130,73,51,6,N,N
CLM,Daimai,Orions,1958,P,4,130,62,63,5,N,N
HNF,Toei,Flyers,1958,P,5,130,57,70,3,N,N
KIN,Kintetsu,Pearls,1958,P,6,130,29,97,4,N,N
YMG,Yomiuri,Giants,1959,C,1,130,77,48,5,N,Y
HAN,Osaka,Tigers,1959,C,2,130,62,59,9,N,N
CDR,Chuncihi,Dragons,1959,C,3,130,64,61,5,N,N
TYS,Kokutetsu,Swallows,1959,C,4,130,63,65,2,N,N
HIR,Hiroshima,Carp,1959,C,5,130,59,64,7,N,N
YOK,Taiyo,Whales,1959,C,6,130,49,77,4,N,N
FUK,Nankai,Hawks,1959,P,1,134,88,42,4,Y,N
CLM,Daimai,Orions,1959,P,2,136,82,48,6,N,N
HNF,Toei,Flyers,1959,P,3,135,67,63,5,N,N
SSL,Nishitetsu,Lions,1959,P,4,144,66,64,14,N,N
BUF,Hankyu,Braves,1959,P,5,134,48,82,4,N,N
KIN,Kintetsu,Buffaloes,1959,P,6,133,39,91,3,N,N
YOK,Taiyo,Whales,1960,C,1,130,70,56,4,Y,N
YMG,Yomiuri,Giants,1960,C,2,130,66,61,3,N,N
HAN,Osaka,Tigers,1960,C,3,130,64,62,4,N,N
HIR,Hiroshima,Carp,1960,C,4,130,62,61,7,N,N
CDR,Chuncihi,Dragons,1960,C,5,130,63,67,0,N,N
TYS,Kokutetsu,Swallows,1960,C,6,130,54,72,4,N,N
CLM,Daimai,Orions,1960,P,1,133,82,48,3,N,Y
FUK,Nankai,Hawks,1960,P,2,136,78,52,6,N,N
SSL,Nishitetsu,Lions,1960,P,3,136,70,60,6,N,N
BUF,Hankyu,Braves,1960,P,4,136,65,65,6,N,N
HNF,Toei,Flyers,1960,P,5,132,52,78,2,N,N
KIN,Kintetsu,Buffaloes,1960,P,6,131,43,87,1,N,N
YMG,Yomiuri,Giants,1961,C,1,130,71,53,6,Y,N
CDR,Chuncihi,Dragons,1961,C,2,130,72,56,2,N,N
TYS,Kokuke,Swallows,1961,C,3,130,67,60,3,N,N
HAN,Hanshin,Tigers,1961,C,4,130,60,67,3,N,N
HIR,Hiroshima,Carp,1961,C,5,130,58,67,5,N,N
YOK,Taiyo,Whales,1961,C,6,130,50,75,5,N,N
FUK,Nankai,Hawks,1961,P,1,140,85,49,6,N,Y
HNF,Toei,Flyers,1961,P,2,140,83,52,5,N,N
SSL,Nishitetsu,Lions,1961,P,3,140,81,56,3,N,N
CLM,Daimai,Orions,1961,P,4,140,72,66,2,N,N
BUF,Hankyu,Braves,1961,P,5,140,53,84,3,N,N
KIN,Kintetsu,Buffaloes,1961,P,6,140,36,103,1,N,N
HAN,Hanshin,Tigers,1962,C,1,133,75,55,3,N,Y
YOK,Taiyo,Whales,1962,C,2,134,71,59,4,N,N
CDR,Chuncihi,Dragons,1962,C,3,133,70,60,3,N,N
YMG,Yomiuri,Giants,1962,C,4,134,67,63,4,N,N
HIR,Hiroshima,Carp,1962,C,5,134,56,74,4,N,N
TYS,Kokutetsu,Swallows,1962,C,6,134,51,79,4,N,N
HNF,Toei,Flyers,1962,P,1,133,78,52,3,Y,N
FUK,Nankai,Hawks,1962,P,2,133,73,57,3,N,N
SSL,Nishitetsu,Lions,1962,P,3,136,62,68,6,N,N
CLM,Daimai,Orions,1962,P,4,132,60,70,2,N,N
BUF,Hankyu,Braves,1962,P,5,131,60,70,1,N,N
KIN,Kintetsu,Buffaloes,1962,P,6,131,57,73,1,N,N
YMG,Yomiuri,Giants,1963,C,1,140,83,55,2,Y,N
CDR,Chuncihi,Dragons,1963,C,2,140,80,57,3,N,N
HAN,Hanshin,Tigers,1963,C,3,140,69,70,1,N,N
TYS,Kokutetsu,Swallows,1963,C,4,140,65,73,2,N,N
YOK,Taiyo,Whales,1963,C,5,140,59,79,2,N,N
HIR,Hiroshima,Carp,1963,C,6,140,58,80,2,N,N
SSL,Nishitetsu,Lions,1963,P,1,150,86,60,4,N,Y
FUK,Nankai,Hawks,1963,P,2,150,85,61,4,N,N
HNF,Toei,Flyers,1963,P,3,150,76,71,3,N,N
KIN,Kintetsu,Buffaloes,1963,P,4,150,74,73,3,N,N
CLM,Daimai,Orions,1963,P,5,150,64,85,1,N,N
BUF,Hankyu,Braves,1963,P,6,150,57,92,1,N,N
HAN,Hanshin,Tigers,1964,C,1,140,80,56,4,N,Y
YOK,Taiyo,Whales,1964,C,2,140,80,58,2,N,N
YMG,Yomiuri,Giants,1964,C,3,140,71,69,0,N,N
HIR,Hiroshima,Carp,1964,C,4,140,64,73,3,N,N
TYS,Kokutetsu,Swallows,1964,C,5,140,61,74,5,N,N
CDR,Chuncihi,Dragons,1964,C,6,140,57,83,0,N,N
FUK,Nankai,Hawks,1964,P,1,150,84,63,3,Y,N
BUF,Hankyu,Braves,1964,P,2,150,79,65,6,N,N
HNF,Toei,Flyers,1964,P,3,150,78,68,4,N,N
CLM,Tokyo,Orions,1964,P,4,150,77,68,5,N,N
SSL,Nishitetsu,Lions,1964,P,5,150,63,81,6,N,N
KIN,Kintetsu,Buffaloes,1964,P,6,150,55,91,4,N,N
YMG,Yomiuri,Giants,1965,C,1,140,91,47,2,Y,N
CDR,Chuncihi,Dragons,1965,C,2,140,77,59,4,N,N
HAN,Hanshin,Tigers,1965,C,3,140,71,66,3,N,N
YOK,Taiyo,Whales,1965,C,4,140,68,70,2,N,N
HIR,Hiroshima,Carp,1965,C,5,140,59,77,4,N,N
TYS,Sankei,Swallows,1965,C,6,140,44,91,5,N,N
FUK,Nankai,Hawks,1965,P,1,140,88,49,3,N,Y
HNF,Toei,Flyers,1965,P,2,140,76,61,3,N,N
SSL,Nishitetsu,Lions,1965,P,3,140,72,64,4,N,N
BUF,Hankyu,Braves,1965,P,4,140,67,71,2,N,N
CLM,Tokyo,Orions,1965,P,5,140,62,74,4,N,N
KIN,Kintetsu,Buffaloes,1965,P,6,140,46,92,2,N,N
YMG,Yomiuri,Giants,1966,C,1,134,89,41,4,Y,N
CDR,Chuncihi,Dragons,1966,C,2,132,76,54,2,N,N
HAN,Hanshin,Tigers,1966,C,3,135,64,66,5,N,N
HIR,Hiroshima,Carp,1966,C,4,136,57,73,6,N,N
YOK,Taiyo,Whales,1966,C,5,130,52,78,0,N,N
TYS,Sankei,Atoms,1966,C,6,135,52,78,5,N,N
FUK,Nankai,Hawks,1966,P,1,133,79,51,3,N,Y
SSL,Nishitetsu,Lions,1966,P,2,138,75,55,8,N,N
HNF,Toei,Flyers,1966,P,3,136,70,60,6,N,N
CLM,Tokyo,Orions,1966,P,4,134,61,69,4,N,N
BUF,Hankyu,Braves,1966,P,5,134,57,73,4,N,N
KIN,Kintetsu,Buffaloes,1966,P,6,133,48,82,3,N,N
YMG,Yomiuri,Giants,1967,C,1,134,84,46,4,Y,N
CDR,Chuncihi,Dragons,1967,C,2,134,72,58,4,N,N
HAN,Hanshin,Tigers,1967,C,3,136,70,60,6,N,N
YOK,Taiyo,Whales,1967,C,4,135,59,71,5,N,N
TYS,Sankei,Atoms,1967,C,5,135,58,72,5,N,N
HIR,Hiroshima,Carp,1967,C,6,138,47,83,8,N,N
BUF,Hankyu,Braves,1967,P,1,134,75,55,4,N,Y
SSL,Nishitetsu,Lions,1967,P,2,140,66,64,10,N,N
HNF,Toei,Flyers,1967,P,3,135,65,65,4,N,N
FUK,Nankai,Hawks,1967,P,4,133,64,66,3,N,N
CLM,Tokyo,Orions,1967,P,5,137,51,69,7,N,N
KIN,Kintetsu,Buffaloes,1967,P,6,132,59,71,2,N,N
YMG,Yomiuri,Giants,1968,C,1,134,77,53,4,Y,N
HAN,Hanshin,Tigers,1968,C,2,133,72,58,3,N,N
HIR,Hiroshima Toyo,Carp,1968,C,3,134,68,62,4,N,N
TYS,Sankei,Atoms,1968,C,4,134,64,66,4,N,N
YOK,Taiyo,Whales,1968,C,5,133,59,71,3,N,N
CDR,Chuncihi,Dragons,1968,C,6,134,50,80,4,N,N
BUF,Hankyu,Braves,1968,P,1,134,80,50,4,N,Y
FUK,Nankai,Hawks,1968,P,2,136,79,51,6,N,N
CLM,Tokyo,Orions,1968,P,3,139,67,63,9,N,N
KIN,Kintetsu,Buffaloes,1968,P,4,135,57,73,5,N,N
SSL,Nishitetsu,Lions,1968,P,5,133,56,74,3,N,N
HNF,Toei,Flyers,1968,P,6,135,51,79,5,N,N
YMG,Yomiuri,Giants,1969,C,1,130,73,51,6,Y,N
HAN,Hanshin,Tigers,1969,C,2,130,68,59,3,N,N
YOK,Taiyo,Whales,1969,C,3,130,61,61,8,N,N
CDR,Chuncihi,Dragons,1969,C,4,130,59,65,6,N,N
TYS,Sankei,Atoms,1969,C,5,130,58,69,3,N,N
HIR,Hiroshima Toyo,Carp,1969,C,6,130,56,70,4,N,N
BUF,Hankyu,Braves,1969,P,1,130,76,50,4,N,Y
KIN,Kintetsu,Buffaloes,1969,P,2,130,73,51,6,N,N
CLM,Lotte,Orions,1969,P,3,130,69,54,7,N,N
HNF,Toei,Flyers,1969,P,4,130,57,70,3,N,N
SSL,Nishitetsu,Lions,1969,P,5,130,51,75,4,N,N
FUK,Nankai,Hawks,1969,P,6,130,50,76,4,N,N
YMG,Yomiuri,Giants,1970,C,1,130,79,47,4,Y,N
HAN,Hanshin,Tigers,1970,C,2,130,77,49,4,N,N
YOK,Taiyo,Whales,1970,C,3,130,69,57,4,N,N
HIR,Hiroshima Toyo,Carp,1970,C,4,130,62,60,8,N,N
CDR,Chuncihi,Dragons,1970,C,5,130,55,70,5,N,N
TYS,Yakult,Atoms,1970,C,6,130,33,92,5,N,N
CLM,Lotte,Orions,1970,P,1,130,80,47,3,N,Y
FUK,Nankai,Hawks,1970,P,2,130,69,57,4,N,N
KIN,Kintetsu,Buffaloes,1970,P,3,130,65,59,6,N,N
BUF,Hankyu,Braves,1970,P,4,130,64,64,2,N,N
HNF,Toei,Flyers,1970,P,5,130,54,70,6,N,N
SSL,Nishitetsu,Lions,1970,P,6,130,43,78,9,N,N
YMG,Yomiuri,Giants,1971,C,1,130,70,52,8,Y,N
CDR,Chuncihi,Dragons,1971,C,2,130,65,60,5,N,N
YOK,Taiyo,Whales,1971,C,3,130,61,59,10,N,N
HIR,Hiroshima Toyo,Carp,1971,C,4,130,63,61,6,N,N
HAN,Hanshin,Tigers,1971,C,5,130,57,64,9,N,N
TYS,Yakult,Atoms,1971,C,6,130,52,72,6,N,N
BUF,Hankyu,Braves,1971,P,1,130,80,39,11,N,Y
CLM,Lotte,Orions,1971,P,2,130,80,46,4,N,N
KIN,Kintetsu,Buffaloes,1971,P,3,130,65,60,5,N,N
FUK,Nankai,Hawks,1971,P,4,130,61,65,4,N,N
HNF,Toei,Flyers,1971,P,5,130,44,74,12,N,N
SSL,Nishitetsu,Lions,1971,P,6,130,38,84,8,N,N
YMG,Yomiuri,Giants,1972,C,1,130,74,52,4,Y,N
HAN,Hanshin,Tigers,1972,C,2,130,71,56,3,N,N
CDR,Chuncihi,Dragons,1972,C,3,130,67,59,4,N,N
TYS,Yakult,Atoms,1972,C,4,130,60,67,3,N,N
YOK,Taiyo,Whales,1972,C,5,130,57,69,4,N,N
HIR,Hiroshima Toyo,Carp,1972,C,6,130,49,75,6,N,N
BUF,Hankyu,Braves,1972,P,1,130,80,48,2,N,Y
KIN,Kintetsu,Buffaloes,1972,P,2,130,64,60,6,N,N
FUK,Nankai,Hawks,1972,P,3,130,65,61,4,N,N
HNF,Toei,Flyers,1972,P,4,130,63,61,6,N,N
CLM,Lotte,Orions,1972,P,5,130,59,68,3,N,N
SSL,Nishitetsu,Lions,1972,P,6,130,47,80,3,N,N
YMG,Yomiuri,Giants,1973,C,1,130,66,60,4,Y,N
HAN,Hanshin,Tigers,1973,C,2,130,64,59,7,N,N
CDR,Chuncihi,Dragons,1973,C,3,130,64,61,5,N,N
TYS,Yakult,Atoms,1973,C,4,130,62,65,3,N,N
YOK,Taiyo,Whales,1973,C,5,130,60,64,6,N,N
HIR,Hiroshima Toyo,Carp,1973,C,6,130,60,67,3,N,N
FUK,Nankai,Hawks,1973,P,1,130,68,58,4,N,Y
